name,url,bytes,source
20210622-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20210622-asx200-removal.pdf,97256,marketindex
20210708-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20210708-asx200-removal.pdf,98256,marketindex
20211124-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20211124-asx200-removal.pdf,92012,marketindex
20211207-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20211207-asx200-removal.pdf,84507,marketindex
20211208-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20211208-asx200-removal.pdf,77771,marketindex
20220112-asx200-consultation.pdf,https://files.marketindex.com.au/files/announcements/20220112-asx200-consultation.pdf,164342,marketindex
20220114-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20220114-asx200-removal.pdf,77984,marketindex
20220201-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20220201-asx200-removal.pdf,90442,marketindex
20220203-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20220203-asx200-removal.pdf,89983,marketindex
20220304-asx200-rebalance.pdf,https://files.marketindex.com.au/files/announcements/20220304-asx200-rebalance.pdf,115477,marketindex
20220407-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20220407-asx200-removal.pdf,82601,marketindex
20220517-asx200-demerger.pdf,https://files.marketindex.com.au/files/announcements/20220517-asx200-demerger.pdf,34356,marketindex
20220519-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20220519-asx200-removal.pdf,70119,marketindex
20220520-asx200-adjournment.pdf,https://files.marketindex.com.au/files/announcements/20220520-asx200-adjournment.pdf,74122,marketindex
20220603-asx200-rebalance.pdf,https://files.marketindex.com.au/files/announcements/20220603-asx200-rebalance.pdf,109669,marketindex
20220615-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20220615-asx200-removal.pdf,76722,marketindex
20220715-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20220715-asx200-removal.pdf,84921,marketindex
20220725-asx200-demerger.pdf,https://files.marketindex.com.au/files/announcements/20220725-asx200-demerger.pdf,65380,marketindex
20220902-asx200-rebalance.pdf,https://files.marketindex.com.au/files/announcements/20220902-asx200-rebalance.pdf,117948,marketindex
20221202-asx200-rebalance.pdf,https://files.marketindex.com.au/files/announcements/20221202-asx200-rebalance.pdf,114427,marketindex
20230106-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20230106-asx200-removal.pdf,144308,marketindex
20230303-asx200-rebalance.pdf,https://files.marketindex.com.au/files/announcements/20230303-asx200-rebalance.pdf,86864,marketindex
20230413-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20230413-asx200-removal.pdf,69954,marketindex
20230602-asx200-rebalance.pdf,https://files.marketindex.com.au/files/announcements/20230602-asx200-rebalance.pdf,82444,marketindex
20230718-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20230718-asx200-removal.pdf,166305,marketindex
20230728-asx200-demerger.pdf,https://files.marketindex.com.au/files/announcements/20230728-asx200-demerger.pdf,29031,marketindex
20230901-asx200-rebalance.pdf,https://files.marketindex.com.au/files/announcements/20230901-asx200-rebalance.pdf,128877,marketindex
20231013-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20231013-asx200-removal.pdf,85835,marketindex
20231024-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20231024-asx200-removal.pdf,70075,marketindex
20231201-asx200-rebalance.pdf,https://files.marketindex.com.au/files/announcements/20231201-asx200-rebalance.pdf,128071,marketindex
