ticker,n_events,actions,first_ann,last_ann,company_name,in_yahoo,in_fmp,has_price
REA,1,Addition,2013-06-07,2013-06-07,REA Group Ltd,True,True,True
REC,1,Removal,2016-04-14,2016-04-14,,True,True,True
RED,1,Addition,2024-03-01,2024-03-01,Red 5 Limited,True,True,True
REG,2,"Addition,Removal",2015-03-06,2017-12-08,Regis Healthcare Limited,True,True,True
RFG,2,"Addition,Removal",2013-12-06,2018-06-08,Retail Food Group Limited,True,True,True
RMS,4,"Addition,Removal",2011-12-16,2023-09-01,Ramelius Resources Limited,True,True,True
RSG,3,"Addition,Removal",2014-12-05,2025-12-05,Resolute Mining Limited,True,True,True
RWC,1,Addition,2016-07-22,2016-07-22,,True,True,True
SAI,2,"Addition,Removal",2012-09-07,2016-12-05,SAI Global Limited,False,False,False
SAR,3,"Addition,Removal",2013-03-01,2021-01-27,Saracen Mineral Holdings Limited,False,False,False
SBM,3,"Addition,Removal",2013-12-06,2022-12-02,St Barbara Limited,True,True,True
SDA,2,"Addition,Removal",2017-06-09,2019-12-13,Speedcast International Limited,False,False,False
SDF,1,Addition,2014-05-20,2014-05-20,,True,True,True
SDL,1,Removal,2013-12-06,2013-12-06,Sundance Resources Limited,True,True,True
SDR,2,"Addition,Removal",2024-03-01,2026-06-05,SiteMinder Limited,True,True,True
SEA,2,"Addition,Removal",2014-04-23,2015-06-05,Sundance Energy Australia Limited,True,True,True
SFR,2,"Addition,Removal",2021-03-12,2021-11-24,Sandfire Resources Limited,True,True,True
SGH,2,"Addition,Removal",2013-12-06,2016-03-11,Slater & Gordon Limited,True,True,True
SGN,2,"Addition,Removal",2013-09-06,2015-06-05,STW Communications Group Limited,False,False,False
SGR,1,Removal,2025-03-07,2025-03-07,The Star Entertainment Group Limited,True,True,True
SHV,1,Removal,2016-09-02,2016-09-02,Select Harvests Limited,True,True,True
SIG,2,"Addition,Removal",2019-09-06,2024-05-02,Sigma Healthcare Limited,True,True,True
SIQ,6,"Addition,Removal",2018-03-09,2025-09-05,Smartgroup Corporation Ltd,True,True,True
SIR,2,"Addition,Removal",2013-06-07,2015-09-03,Sirius Resources NL,False,False,False
SKC,2,"Addition,Removal",2013-12-06,2022-03-04,Skycity Entertainment Group Limited,True,True,True
SKE,2,"Addition,Removal",2012-09-07,2015-06-05,Skilled Group Limited,False,False,False
SKI,1,Removal,2021-11-24,2021-11-24,,False,False,False
SKT,2,"Addition,Removal",2013-09-06,2017-09-01,Sky Network Television Limited,True,True,True
SLC,1,Addition,2025-09-05,2025-09-05,Superloop Limited,True,True,True
SLR,4,"Addition,Removal",2011-12-16,2024-05-31,Silver Lake Resources Limited,True,True,True
SLX,1,Addition,2025-12-05,2025-12-05,Silex Systems Limited,True,True,True
SMR,2,"Addition,Removal",2024-03-01,2025-06-06,Stanmore Resources Limited,True,True,True
SMX,1,Removal,2014-03-07,2014-03-07,SMS Management & Technology Limited,True,True,True
SOL,1,Addition,2017-09-01,2017-09-01,Washington H Soul Pattinson & Company Limited,True,True,True
SPK,3,"Addition,Removal",2022-03-04,2024-12-06,Spark New Zealand Limited,True,True,True
SPO,2,"Addition,Removal",2014-08-08,2017-07-28,,False,False,False
